dates,stationid,temperature,humidity,pressure,rain,lightavg,lightmax,moisture
10-08-2018,t10,22.88489,99.0,1012.835971,108.0,3885.4691,10057.0,2.0
11-08-2018,t10,22.491315,99.0,1008.612057,76.5,4270.622,54612.0,2.0
12-08-2018,t10,22.09774,99.0,1008.9097166666668,1341.0,2713.987,11745.0,1.7669
13-08-2018,t10,21.03053,99.0,1009.2073763333332,1804.5,4562.3611,54612.0,1.0076
14-08-2018,t10,22.97842,99.0,1009.505036,0.0,4647.5375,13465.0,1.3741
15-08-2018,t10,24.23022,98.99281,1011.415827,0.0,5712.9375,14348.0,9.9928
16-08-2018,t10,23.336125,98.996405,1011.5120894444444,19.125,4237.6709,10860.5,16.1341
17-08-2018,t10,22.44203,99.0,1011.6083518888888,38.25,2325.9114,7373.0,22.2754
18-08-2018,t10,22.00752,99.0,1011.7046143333332,2171.25,1623.4941,54612.0,22.5564
19-08-2018,t10,23.34058,99.0,1011.8008767777776,1456.875,9065.78505,54612.0,22.4648
20-08-2018,t10,23.70423,99.0,1011.8971392222222,742.5,7169.2593,54612.0,22.3732
21-08-2018,t10,21.26761,99.0,1011.9934016666666,443.25,8072.9383,54612.0,23.4155
22-08-2018,t10,22.97826,99.0,1012.089664111111,774.0,3729.6923,11649.0,24.2754
23-08-2018,t10,21.94074,99.0,1012.1859265555556,1167.75,1911.2338,7800.0,24.4
24-08-2018,t10,21.92199,99.0,1012.282189,898.875,1445.1299,5682.0,23.9263
25-08-2018,t10,22.08759,99.0,1012.3784514444444,630.0,979.026,3564.0,23.4526
26-08-2018,t10,22.76812,99.0,1012.4747138888888,594.0,1623.4941,15494.0,23.8478
27-08-2018,t10,24.48227,98.75887,1012.5709763333332,0.0,7555.4,54612.0,23.1631
28-08-2018,t10,24.6338,98.93662,1012.6672387777778,38.25,5482.325,14212.0,22.2465
29-08-2018,t10,23.25532,99.0,1012.7635012222222,65.25,4054.0,15848.0,21.5319
30-08-2018,t10,22.85315,99.0,1012.8597636666666,546.75,3913.1728,11093.0,21.7483
31-08-2018,t10,22.52143,99.0,1012.9560261111112,576.0,3378.8206,11815.5,23.4929
01-09-2018,t10,21.6955,99.0,1013.0522885555556,605.25,2844.4684,12538.0,24.1053
02-09-2018,t10,20.86957,99.0,1013.148551,634.5,2844.4684,12538.0,24.4855
03-09-2018,t10,21.6015,99.0,1013.132331,29.25,2844.4684,12538.0,23.9173
04-09-2018,t10,22.55263,99.0,1013.880702,1091.25,2844.4684,12538.0,23.5439
05-09-2018,t10,22.83019,99.0,1013.082075,13.5,1623.4941,54612.0,23.6887
06-09-2018,t10,23.98473,98.89313,1013.178626,58.5,5152.8955,54612.0,23.9924
07-09-2018,t10,24.47253,97.46154,1015.737363,162.0,5152.8955,54612.0,24.7363
08-09-2018,t10,22.76336,99.0,1015.917557,4.5,5152.8955,54612.0,24.0534
09-09-2018,t10,23.05674,98.97934,1016.965248,29.25,3384.0263,10515.0,23.2695
10-09-2018,t10,23.71901,98.95868,1017.559504,54.0,4214.8571,15859.0,21.2562
11-09-2018,t10,23.01724,99.0,1016.480172,157.5,4263.4459,11103.0,22.3879
12-09-2018,t10,22.29927,97.23358,1013.544526,87.75,4263.4459,11103.0,22.5427
13-09-2018,t10,21.42857,99.0,1013.332773,366.75,4263.4459,11103.0,22.6975
14-09-2018,t10,20.84211,98.14286,1015.972932,183.375,4263.4459,11103.0,21.45945
15-09-2018,t10,20.42857,99.0,1017.761429,0.0,4263.4459,11103.0,20.2214
16-09-2018,t10,22.45985,90.43796,1016.443066,0.0,4263.4459,11103.0,18.708
17-09-2018,t10,22.16921,90.54545,1015.98939,0.0,4263.4459,11103.0,16.83615
18-09-2018,t10,21.87857,91.54286,1015.535714,0.0,4263.4459,11103.0,14.9643
19-09-2018,t10,22.77372,88.33577,1015.678832,0.0,4263.4459,11103.0,13.927
20-09-2018,t10,23.32857,85.64286,1016.66,0.0,4263.4459,11103.0,12.5357
21-09-2018,t10,21.64286,99.0,1019.519286,589.5,4263.4459,11103.0,11.7714
22-09-2018,t10,17.65385,99.0,1020.484615,207.0,0.0,4000.0,2.6154
23-09-2018,t10,17.34,99.0,1018.4,281.25,3536.3333,54612.0,6.64
24-09-2018,t10,15.96992,99.0,1016.937594,1215.0,4263.4459,11103.0,6.8647
25-09-2018,t10,20.80741,95.76296,1017.057778,2.25,4263.4459,11103.0,1.3926
26-09-2018,t10,22.37857,90.69286,1016.634286,0.0,4263.4459,11103.0,1.1929
27-09-2018,t10,21.76471,94.65441,1017.828676,0.0,1623.4941,54612.0,1.0368
28-09-2018,t10,19.97872,98.93617,1018.870213,0.0,4414.1091,54612.0,1.0
29-09-2018,t10,21.92701,89.9635,1019.938686,0.0,4516.8451,11700.0,0.9927
30-09-2018,t10,21.86765,88.70588,1018.620588,0.0,4598.2676,10660.0,0.6103
01-10-2018,t10,21.7234,84.13475,1018.668085,0.0,4414.0417,11161.0,0.2553
02-10-2018,t10,21.567375,82.450355,1018.8631205,0.0,5882.726,54612.0,0.1079
03-10-2018,t10,21.41135,80.76596,1019.058156,0.0,4351.6901,13652.0,0.0496
04-10-2018,t10,20.15603,80.41844,1020.691489,74.25,4351.6901,13652.0,3.3901
05-10-2018,t10,20.05072,76.53623,1021.807971,0.0,3697.3056,8477.0,10.3116
06-10-2018,t10,20.38129,70.5036,1020.628777,0.0,4351.6901,13652.0,9.5324
07-10-2018,t10,19.84173,76.4964,1019.928777,0.0,6855.3286,54612.0,8.9928
08-10-2018,t10,20.05882,78.66912,1018.497059,0.0,6855.3286,54612.0,6.6176
09-10-2018,t10,20.26812,72.2029,1018.703623,0.0,6855.3286,54612.0,0.0
10-10-2018,t10,20.77857,67.38571,1018.994286,24.75,6855.3286,54612.0,0.0929
11-10-2018,t10,17.71223,87.72662,1020.029496,315.0,6855.3286,54612.0,0.295
12-10-2018,t10,18.074425,85.194295,1021.259286,0.0,6855.3286,54612.0,0.3571
13-10-2018,t10,18.43662,82.66197,1020.980282,0.0,6855.3286,54612.0,0.007
14-10-2018,t10,18.40714,82.82857,1020.8631905,0.0,6855.3286,54612.0,0.0071
15-10-2018,t10,18.36879,80.40426,1020.746099,0.0,6855.3286,54612.0,0.0213
16-10-2018,t10,19.02746,65.30067,1020.36575,0.0,6855.3286,54612.0,0.0145
17-10-2018,t10,19.68613,50.19708,1019.985401,0.0,6855.3286,54612.0,0.0073
18-10-2018,t10,19.69286,53.86429,1019.663571,0.0,6855.3286,54612.0,0.0071
19-10-2018,t10,19.29078,50.82979,1020.826241,0.0,6855.3286,54612.0,0.0071
20-10-2018,t10,18.57971,56.76087,1022.741304,0.0,6855.3286,54612.0,0.0145
21-10-2018,t10,17.94245,69.70504,1023.085612,0.0,6855.3286,54612.0,0.0288
22-10-2018,t10,17.59712,62.07914,1021.238849,0.0,6855.3286,54612.0,0.0
23-10-2018,t10,17.73571,57.10714,1021.158571,0.0,1623.4941,54612.0,0.0071
24-10-2018,t10,16.46923,60.64615,1021.599231,0.0,1623.4941,54612.0,0.0154
25-10-2018,t10,17.33094,65.41727,1022.845324,0.0,1623.4941,54612.0,0.0216
26-10-2018,t10,17.74101,67.42446,1024.593525,0.0,6779.3509,54612.0,0.0
27-10-2018,t10,17.48227,72.75177,1024.773759,0.0,4422.971,13652.0,0.0071
28-10-2018,t10,18.35714,72.72857,1024.462143,0.0,4209.4714,8582.0,0.0071
29-10-2018,t10,18.2695,76.35461,1023.589362,0.0,4217.0441,8616.0,0.0
30-10-2018,t10,18.0,84.66429,1023.259286,0.0,4217.0441,8616.0,0.0
31-10-2018,t10,18.97015,78.98507,1024.435075,0.0,4386.7419,8060.0,0.0
01-11-2018,t10,17.03101,94.0155,1023.060465,0.0,3020.8065,6569.0,0.0078
02-11-2018,t10,14.69369,90.10811,1022.226126,0.0,1718.1385,7842.0,2.8108
06-11-2018,t10,13.97872,89.46809,1020.312766,0.0,827.1875,4000.0,0.3191
07-11-2018,t10,15.8626,77.55725,1020.820611,0.0,3020.8065,6569.0,0.4275
08-11-2018,t10,14.70079,82.61417,1021.885827,0.0,3020.8065,6569.0,0.3701
09-11-2018,t10,15.41085,81.10078,1020.051163,0.0,3020.8065,6569.0,0.0078
10-11-2018,t10,15.49612,83.48062,1020.84031,0.0,3020.8065,6569.0,0.0465
11-11-2018,t10,14.36585,83.86179,1021.830081,0.0,3020.8065,6569.0,0.0
12-11-2018,t10,16.03676,66.22794,1020.306618,0.0,3020.8065,6569.0,3.0147
13-11-2018,t10,13.28689,85.56557,1017.998361,0.0,3020.8065,6569.0,3.5984
17-11-2018,t10,14.20635,88.1746,1017.206349,0.0,1282.0667,4000.0,0.0476
18-11-2018,t10,15.1875,79.20139,1019.647917,0.0,3020.8065,6569.0,0.3403
19-11-2018,t10,16.27972,76.74126,1022.958741,0.0,3020.8065,6569.0,0.007
20-11-2018,t10,15.46479,80.73944,1023.152113,0.0,3020.8065,6569.0,0.2958
21-11-2018,t10,15.41791,80.20149,1022.414925,0.0,3020.8065,6569.0,0.3284
22-11-2018,t10,14.34752,86.14184,1023.095035,0.0,3020.8065,6569.0,0.1135
23-11-2018,t10,14.60839,82.06993,1024.956643,0.0,3020.8065,6569.0,0.014
24-11-2018,t10,15.74648,78.28873,1022.372535,0.0,3020.8065,6569.0,0.007
25-11-2018,t10,17.17647,69.68627,1022.417647,0.0,3020.8065,6569.0,0.0
05-07-2018,t11,22.05,83.65,1014.677832,0.0,0.0,4000.0,0.05
06-07-2018,t11,26.86029,64.97059,1014.677832,0.0,24.9873,4000.0,0.0882
07-07-2018,t11,29.31304,62.42609,1014.677832,0.0,31.5125,4000.0,0.8
08-07-2018,t11,23.53846,61.92308,1014.677832,3.0,1.0,4000.0,1.0
09-07-2018,t11,26.8494,61.10241,1014.677832,15.0,20.4167,4000.0,1.0
10-07-2018,t11,27.88806,75.07463,1014.677832,22.5,21.1111,4000.0,1.0
11-07-2018,t11,28.064185,73.30863500000001,1014.677832,22.5,2254.2024,54612.0,5.7746
12-07-2018,t11,28.24031,71.54264,1014.677832,0.0,1439.4375,12946.0,11.9147
13-07-2018,t11,25.5,78.40278,1014.677832,20.25,340.5581,4000.0,11.7569
14-07-2018,t11,28.3007,71.36364,1001.858811,0.0,1022.2414,4000.0,11.3147
15-07-2018,t11,29.09286,69.27143,1001.904714,13.5,785.2619,4000.0,9.0571
16-07-2018,t11,24.92308,85.0979,1002.972517,1260.0,2160.2771,12387.0,20.5664
17-07-2018,t11,26.52857,80.95714,1003.607429,324.0,6468.7558,28481.0,16.6
18-07-2018,t11,28.1223,76.023685,1003.946691,40.5,1623.4941,54612.0,12.518
19-07-2018,t11,29.08271,71.09023,1003.409624,360.0,9803.7342,54612.0,10.4211
20-07-2018,t11,28.32867,74.71329,1002.863497,679.5,8401.25,52476.0,13.965
21-07-2018,t11,27.32168,76.97902,1002.647552,13.5,4663.9472000000005,54585.0,11.7902
22-07-2018,t11,25.50649,84.90909,1003.382078,0.0,926.6444,4000.0,10.5714
27-07-2018,t11,25.00295,85.78909,1009.635339,9.0,154.2815,4000.0,25.3304
28-07-2018,t11,23.76852,88.08333,1009.52108,130.5,0.0,4000.0,23.4444
01-08-2018,t11,26.6,89.541665,1008.048667,24.75,1623.4941,4000.0,4.4667
05-08-2018,t11,24.0,91.0,1009.265,0.0,1623.4941,54612.0,0.0
11-08-2018,t11,27.11321,82.71698,1006.760189,2.25,24.08,4000.0,0.0
12-08-2018,t11,25.80645,85.29032,1005.37,22.5,29.0435,4000.0,0.0
13-08-2018,t11,24.59375,88.02083,1007.329896,159.75,26.3864,4000.0,0.0
14-08-2018,t11,27.45882,85.27849,1008.795412,0.0,38.18,4000.0,0.0
15-08-2018,t11,27.95699,82.53614999999999,1010.794086,0.0,33.3462,4000.0,0.0
16-08-2018,t11,27.61856,79.79381,1013.24,0.0,40.0612,4000.0,0.0
17-08-2018,t11,26.93333,82.15978999999999,1010.767444,9.0,40.7111,4000.0,0.0
18-08-2018,t11,27.319605000000003,84.52577,1010.006598,4.5,1066.8302,54612.0,0.0
19-08-2018,t11,27.70588,79.43697,1009.032185,0.0,47.0952,4000.0,0.0
20-08-2018,t11,27.48936,81.85106,1010.4011415,4.5,46.4306,4000.0,0.0
21-08-2018,t11,24.12745,90.60784,1011.770098,24.75,11.5294,4000.0,0.0
22-08-2018,t11,26.81061,83.68939,1010.30053,0.0,52.5574,4000.0,0.0
23-08-2018,t11,25.46479,90.16901,1009.857113,63.0,28.1644,4000.0,0.0
24-08-2018,t11,24.43836,90.41096,1009.350223,2.25,4.5,4000.0,0.0
25-08-2018,t11,23.08772,90.40351,1008.843333,58.5,5.25,4000.0,0.0
26-08-2018,t11,24.9863,84.78082,1008.98411,9.0,35.7667,4000.0,0.0
27-08-2018,t11,26.84211,80.60526,1011.033158,4.5,10.0,4000.0,0.0
28-08-2018,t11,27.66981,78.91509,1012.174906,0.0,38.475,4000.0,0.0
29-08-2018,,27.60563,80.99296,1012.834225,20.25,45.0,4000.0,0.0
30-08-2018,t11,27.37755,79.88776,1010.886429,0.0,54.4032,4000.0,0.0
31-08-2018,t11,27.01053,83.14737,1010.748947,47.25,41.5735,4000.0,0.0
01-09-2018,t11,27.51969,79.58268,1012.733858,45.0,54.2239,4000.0,2.0
02-09-2018,,25.26667,88.57143,1012.892095,9.0,22.6269,4000.0,0.7048
03-09-2018,t11,25.45455,87.03788,1012.725076,6.75,26.3151,4000.0,1.8864
04-09-2018,t11,24.79167,86.79167,1012.828333,0.0,16.125,4000.0,1.2917
05-09-2018,t11,26.63415,80.08537,1012.793171,2.25,33.7586,4000.0,2.4268
06-09-2018,t11,26.56693,74.88189,1012.595433,0.0,39.4265,4000.0,3.6299
07-09-2018,t11,26.50667,75.45333,1014.4444,0.0,36.5641,4000.0,3.4667
08-09-2018,t11,25.9084,76.63359,1015.343588,0.0,53.9296,4000.0,3.2519
09-09-2018,t11,26.21429,81.82857,1016.471571,13.5,37.5758,4000.0,2.9
10-09-2018,t11,25.70667,80.53333,1017.527067,0.0,45.5789,4000.0,2.5733
11-09-2018,t11,22.91667,90.95833,1016.447917,0.0,0.0,4000.0,1.0
12-09-2018,t11,20.05882,91.70588,1013.955882,0.0,0.0,4000.0,2.0
13-09-2018,t11,22.88095,90.11905,1011.939524,9.0,15.6875,4000.0,2.4048
14-09-2018,t11,19.04,90.76,1014.0484,0.0,0.0,4000.0,2.04
15-09-2018,t11,25.30534,74.15267,1017.689542,0.0,52.5,4000.0,3.8168
16-09-2018,t11,24.23077,70.65035,1017.3093608,0.0,52.5,4000.0,3.6713
17-09-2018,t11,23.28571,65.61039,1016.9291796,0.0,46.5227,4000.0,4.2078
18-09-2018,t11,24.729275,63.61386,1016.5489984,0.0,52.5,4000.0,4.3861
19-09-2018,t11,26.17284,58.2963,1016.1688172,0.0,63.1607,4000.0,5.0741
20-09-2018,t11,21.75,60.43182,1015.788636,0.0,23.0,4000.0,3.5227
21-09-2018,t11,26.11957,66.26087,1018.865435,0.0,71.5,4000.0,4.8043
05-07-2018,t12,21.0,93.5,1014.677832,0.0,302.0,4000.0,2.0
09-07-2018,t12,25.55238,91.38095,1000.0,1.0,1.0,4000.0,1.0
13-07-2018,t12,25.55238,91.38095,1005.78,0.0,447.6,4000.0,27.0
16-07-2018,t12,25.55238,86.9619,1005.498095,47.25,8768.8228,54612.0,74.8762
17-07-2018,t12,25.76456,92.56391,1008.306015,1710.0,8233.8337375,54612.0,90.0526
18-07-2018,t12,25.97674,88.37209,1008.658915,22.5,7698.844674999999,54612.0,11.9225
19-07-2018,t12,27.4,84.14815,1008.095556,22.5,7163.8556125,54612.0,10.6
20-07-2018,t12,26.42958,90.66197,1007.472535,22.5,6628.86655,54612.0,17.4507
21-07-2018,t12,25.27536,94.18116,1007.282609,1183.5,6093.8774875,54612.0,15.1159
22-07-2018,t12,24.73611,96.68056,1007.775694,1962.0,5558.888425,54612.0,12.2431
23-07-2018,t12,24.39024,94.4065,1007.852846,1071.0,5023.8993625,54612.0,11.2683
24-07-2018,t12,24.16197,97.66901,1008.639437,438.75,4488.9103,54612.0,11.7394
25-07-2018,t12,25.29323,94.84211,1006.52406,22.5,4488.9103,54612.0,10.6391
26-07-2018,t12,22.19718,99.0,1007.227465,864.0,4488.9103,54612.0,10.3803
27-07-2018,t12,21.73239,98.95775,1007.227465,816.75,4488.9103,54612.0,9.0986
28-07-2018,t12,21.48571,99.0,1007.24,796.5,4488.9103,54612.0,8.6643
29-07-2018,t12,25.5,92.52817,1007.312676,2.25,4488.9103,54612.0,8.2606
30-07-2018,t12,25.83206,88.25954,1006.621374,0.0,4488.9103,54612.0,8.0
31-07-2018,t12,25.77465,91.26056,1005.949296,81.0,4488.9103,54612.0,7.6901
01-08-2018,t12,25.36691,91.17986,1006.671942,191.25,4488.9103,54612.0,7.0935
02-08-2018,t12,25.68148,91.37778,1007.995556,76.5,4488.9103,54612.0,7.7778
03-08-2018,,26.77305,90.69504,1008.012766,6.75,4488.9103,54612.0,7.0426
04-08-2018,t12,22.89286,99.0,1007.278571,4.5,0.0,4000.0,7.0
11-08-2018,t12,24.70769,98.70769,1005.376923,0.0,4510.7541,54612.0,5.0
12-08-2018,t12,23.90278,98.23611,1003.989583,202.5,4488.9103,54612.0,5.1319
13-08-2018,t12,22.09929,99.0,1014.677832,1611.0,4488.9103,54612.0,7.9362
14-08-2018,t12,24.96479,93.75352,1000.405634,0.0,4488.9103,54612.0,12.8732
15-08-2018,t12,25.11268,93.42958,1000.772535,0.0,4488.9103,54612.0,13.8944
16-08-2018,t12,25.024489000000003,95.47183,1004.730282,56.25,4488.9103,54612.0,14.0
17-08-2018,t12,24.936298,95.50355,1009.456738,38.25,4488.9103,54612.0,13.4255
18-08-2018,t12,24.848107,98.95745,1008.566667,24.75,4488.9103,54612.0,13.0
19-08-2018,t12,24.759916,93.41667,1007.742361,0.0,4488.9103,54612.0,12.4167
20-08-2018,t12,24.671725,95.84615,1009.511888,92.25,4488.9103,54612.0,12.007
21-08-2018,t12,24.583534,98.89286,1010.251429,353.25,4488.9103,54612.0,10.7429
22-08-2018,t12,24.495343,96.91489,1008.799291,4.5,4488.9103,54612.0,9.0
23-08-2018,t12,24.407152,99.0,1008.459859,533.25,4488.9103,54612.0,9.2887
24-08-2018,t12,24.318961,98.41844,1008.144681,213.75,4488.9103,54612.0,9.1135
25-08-2018,t12,24.23077,95.67133,1014.677832,434.25,4488.9103,54612.0,8.8042
26-08-2018,t12,24.35211,96.46479,1007.517606,191.25,4488.9103,54612.0,8.6761
27-08-2018,t12,26.17857,93.72857,1009.550714,0.0,4488.9103,54612.0,8.0
28-08-2018,t12,26.40559,94.02797,1010.669231,0.0,4488.9103,54612.0,8.0
29-08-2018,t12,25.48592,96.12676,1014.677832,202.5,4488.9103,54612.0,8.007
30-08-2018,t12,24.41667,98.0,1009.079167,67.5,4488.9103,54612.0,6.8264
31-08-2018,t12,23.72727,98.6993,1009.779021,594.0,4488.9103,54612.0,7.3497
01-09-2018,t12,24.93056,96.49306,1011.370139,409.5,4488.9103,54612.0,6.8333
02-09-2018,t12,24.038705,99.0,1011.393461,139.5,4488.9103,54612.0,7.1056
03-09-2018,t12,23.14685,99.0,1011.416783,13.5,4488.9103,54612.0,6.9091
04-09-2018,t12,22.74265,98.26471,1019.489706,99.0,4488.9103,54612.0,6.9926
05-09-2018,t12,22.85211,98.97183,1011.276056,13.5,4488.9103,54612.0,6.3028
06-09-2018,t12,23.97203,97.67832,1011.201399,2.25,4488.9103,54612.0,6.0
07-09-2018,t12,23.60221,97.004655,1012.612319,1.125,4488.9103,54612.0,6.1643
08-09-2018,t12,23.23239,96.33099,1014.023239,0.0,4488.9103,54612.0,6.0
09-09-2018,t12,23.87324,97.01408,1015.140845,333.0,4488.9103,54612.0,6.4577
10-09-2018,t12,24.34965,96.6993,1015.759441,33.75,4488.9103,54612.0,6.2587
11-09-2018,t12,23.9157,97.69231,1007.80979,468.0,4488.9103,54612.0,6.8811
12-09-2018,t12,23.48175,93.68613,1014.677832,0.0,4488.9103,54612.0,6.0657
13-09-2018,t12,22.79861,97.5,1011.515972,222.75,4488.9103,54612.0,6.04035
14-09-2018,t12,21.51128,94.36842,1014.421053,6.75,4488.9103,54612.0,6.015
15-09-2018,t12,22.27465,95.66197,1016.266901,0.0,4488.9103,54612.0,6.0
16-09-2018,t12,22.147815,91.16665,1013.5804435,0.0,4488.9103,54612.0,5.6127
17-09-2018,t12,22.02098,86.67133,1010.893986,0.0,4488.9103,54612.0,5.007
18-09-2018,t12,22.1958,86.65035,1014.083217,0.0,4488.9103,54612.0,5.0
19-09-2018,t12,23.6383,82.44681,1013.967376,0.0,4488.9103,54612.0,5.0
20-09-2018,t12,24.30986,78.67606,1014.890845,0.0,4488.9103,54612.0,5.0
21-09-2018,t12,24.57343,85.91608,1017.458182,11.25,4488.9103,54612.0,5.0
22-09-2018,,17.58571,99.0,1018.952143,162.0,4488.9103,54612.0,5.6286
23-09-2018,t12,17.44681,99.0,999.7637589,15.75,4488.9103,54612.0,6.0
24-09-2018,t12,15.93007,99.0,1015.988811,9.0,4488.9103,54612.0,6.0629
25-09-2018,t12,20.71831,88.71127,999.0835211,4.5,4488.9103,54612.0,5.8028
26-09-2018,t12,22.65957,85.90071,1014.980851,2.25,4488.9103,54612.0,5.0567
27-09-2018,t12,22.1338,85.6338,1016.287324,4.5,4488.9103,54612.0,5.0
28-09-2018,t12,20.40972,91.5625,1017.750694,263.25,4488.9103,54612.0,5.6389
29-09-2018,,21.8169,86.06338,1018.630986,0.0,4488.9103,54612.0,5.8944
30-09-2018,t12,21.44444,86.74306,1017.300694,0.0,4488.9103,54612.0,5.0
01-10-2018,t12,21.67133,84.0,1010.272727,0.0,4488.9103,54612.0,5.0
02-10-2018,t12,21.08451,74.44366,1018.533099,0.0,4488.9103,54612.0,5.0
03-10-2018,t12,21.33566,72.51748,1010.717483,0.0,4488.9103,54612.0,5.0
04-10-2018,t12,21.16429,64.17857,1012.476429,0.0,4488.9103,54612.0,5.0
05-10-2018,t12,20.34722,67.93056,1012.602569,0.0,4488.9103,54612.0,5.0
06-10-2018,t12,19.65734,64.42657,1012.529371,0.0,4488.9103,54612.0,5.0
07-10-2018,t12,20.32867,68.13287,1018.983217,0.0,4488.9103,54612.0,4.2028
08-10-2018,t12,20.02113,74.8662,1017.524648,0.0,4488.9103,54612.0,4.0
09-10-2018,t12,20.69444,55.63889,1017.774306,0.0,4488.9103,54612.0,4.0
10-10-2018,t12,20.03521,50.77465,1014.677832,6.75,4488.9103,54612.0,4.0
11-10-2018,t12,15.47887,83.57746,1014.677832,0.0,4488.9103,54612.0,4.0
12-10-2018,t12,18.31469,81.73427,1020.41958,0.0,4488.9103,54612.0,4.0
13-10-2018,t12,18.125,81.32639,1013.993264,0.0,4488.9103,54612.0,4.0
14-10-2018,t12,18.04895,80.82517,1025.609091,0.0,4488.9103,54612.0,4.0
15-10-2018,t12,18.22378,74.1958,1005.032308,0.0,4488.9103,54612.0,4.0
16-10-2018,,18.56028,63.29787,1020.489362,0.0,4488.9103,54612.0,4.0
17-10-2018,t12,17.97222,58.71528,1019.160417,0.0,4488.9103,54612.0,4.0
18-10-2018,t12,19.30556,57.45139,1011.806944,0.0,4488.9103,54612.0,4.0
19-10-2018,t12,20.0,49.40972,1013.020833,0.0,4488.9103,54612.0,4.0
20-10-2018,t12,18.9375,53.94444,1014.925,0.0,4488.9103,54612.0,4.0
21-10-2018,t12,18.97887,52.02113,1021.641197,0.0,4488.9103,54612.0,3.5915
22-10-2018,t12,18.00699,53.74126,1020.688112,0.0,4488.9103,54612.0,3.0
23-10-2018,t12,17.38889,49.10417,1020.666667,0.0,4488.9103,54612.0,3.0
24-10-2018,t12,17.83036,53.67857,1020.142118,0.0,4488.9103,54612.0,3.0
25-10-2018,t12,17.35417,52.27083,1019.617569,0.0,4488.9103,54612.0,3.0
26-10-2018,t12,17.35915,55.43662,1024.034507,0.0,4488.9103,54612.0,3.0
27-10-2018,t12,12.57143,61.57143,1023.9,0.0,0.0,4000.0,3.0
31-10-2018,t12,16.02326,84.37209,1014.677832,0.0,771.0,4000.0,3.8372
01-11-2018,t12,16.26866,83.995745,1014.677832,0.0,4488.9103,54612.0,2.6269
02-11-2018,t12,13.21642,83.6194,1014.677832,0.0,4488.9103,54612.0,0.7015
03-11-2018,t12,11.27778,97.44444,1014.677832,0.0,4488.9103,54612.0,0.0
04-11-2018,t12,14.16296,82.41481,1014.677832,0.0,4488.9103,54612.0,0.9926
05-11-2018,t12,15.00746,76.79851,1014.677832,0.0,4488.9103,54612.0,2.5373
06-11-2018,t12,14.85714,73.8797,1014.677832,0.0,4488.9103,54612.0,4.0526
07-11-2018,t12,14.6,69.61538,1014.677832,0.0,4488.9103,54612.0,5.1923
08-11-2018,t12,14.10526,77.25564,1014.677832,0.0,4488.9103,54612.0,5.3233
09-11-2018,t12,15.47727,70.69697,1014.677832,0.0,4488.9103,54612.0,5.6894
10-11-2018,t12,15.63359,71.32061,1014.677832,0.0,4488.9103,54612.0,5.8015
11-11-2018,t12,13.95522,64.8806,1014.677832,0.0,4488.9103,54612.0,5.291
